CustomerID,Recency,Frequency,Monetary,R,F,M,Cluster,RFM,Segment
12879,92,2,70.80000000000001,1,1,1,2,111,At Risk
12883,25,10,186.18,3,2,2,0,322,Potential Loyalist
12884,89,1,31.8,2,1,1,2,211,At Risk
12885,64,20,361.47999999999985,2,3,3,1,233,Need Attention
12886,68,12,212.39,2,2,2,1,222,Need Attention
12890,25,13,53.87,3,2,1,0,321,Potential Loyalist
12893,31,7,20.4,2,2,1,0,221,Potential Loyalist
12895,43,6,107.65,2,2,2,0,222,Potential Loyalist
12901,11,28,3647.06,3,3,3,3,333,Loyal Customers
12902,265,4,42.03,1,1,1,2,111,At Risk
12904,19,15,64.55000000000001,3,2,1,0,321,Potential Loyalist
12906,12,16,494.86999999999995,3,3,3,3,333,Loyal Customers
12909,88,19,624.2100000000002,2,3,3,1,233,Need Attention
12910,65,12,481.26,2,2,3,1,223,Need Attention
12912,9,3,162.36,3,1,2,0,312,Potential Loyalist
12913,5,12,617.78,3,2,3,3,323,Loyal Customers
12915,149,2,35.9,1,1,1,2,111,At Risk
12916,139,24,699.38,1,3,3,1,133,Need Attention
12919,9,6,133.74,3,2,2,0,322,Potential Loyalist
12920,18,3,23.4,3,1,1,0,311,Potential Loyalist
12921,10,115,2393.0399999999995,3,3,3,3,333,Loyal Customers
12922,162,4,57.239999999999995,1,1,1,2,111,At Risk
12923,65,9,59.49999999999999,2,2,1,1,221,Need Attention
12924,89,6,220.82999999999998,2,2,2,1,222,Need Attention
12925,5,11,183.16000000000003,3,2,2,0,322,Potential Loyalist
12928,36,15,366.8,2,2,3,1,223,Need Attention
12929,312,3,42.900000000000006,1,1,1,2,111,At Risk
12930,79,6,97.51,2,2,2,1,222,Need Attention
12931,22,19,8490.64,3,3,3,3,333,Loyal Customers
12933,25,24,113.86999999999999,3,3,2,0,332,Potential Loyalist
12935,3,26,406.0999999999999,3,3,3,3,333,Loyal Customers
12936,18,14,236.79000000000002,3,2,2,0,322,Potential Loyalist
12937,16,31,393.4300000000001,3,3,3,3,333,Loyal Customers
12939,65,9,1680.68,2,2,3,1,223,Need Attention
12940,55,22,207.07,2,3,2,1,232,Need Attention
12942,132,14,80.92,1,2,2,1,122,Need Attention
12944,36,8,189.4,2,2,2,0,222,Potential Loyalist
12945,289,5,129.10000000000002,1,1,2,1,112,Need Attention
12947,144,17,215.86999999999998,1,3,2,1,132,Need Attention
12948,45,23,372.77999999999986,2,3,3,1,233,Need Attention
12949,31,42,748.0200000000001,2,3,3,3,233,Loyal Customers
12950,3,4,471.6,3,1,3,0,313,Potential Loyalist
12951,9,8,157.3,3,2,2,0,322,Potential Loyalist
12952,6,18,291.2699999999999,3,3,3,3,333,Loyal Customers
12953,10,4,76.3,3,1,1,0,311,Potential Loyalist
12955,2,32,875.5199999999998,3,3,3,3,333,Loyal Customers
12956,307,2,7.9,1,1,1,2,111,At Risk
12957,10,50,814.7000000000003,3,3,3,3,333,Loyal Customers
12962,8,3,40.45,3,1,1,0,311,Potential Loyalist
12963,9,13,257.62,3,2,3,0,323,Potential Loyalist
12965,90,16,102.1,2,3,2,1,232,Need Attention
12966,10,3,42.5,3,1,1,0,311,Potential Loyalist
12968,113,2,24.95,1,1,1,2,111,At Risk
12970,8,30,72.78,3,3,1,0,331,Potential Loyalist
12971,16,53,2082.6900000000005,3,3,3,3,333,Loyal Customers
12974,198,2,47.5,1,1,1,2,111,At Risk
12976,212,5,203.68,1,1,2,1,112,Need Attention
12977,157,1,0.65,1,1,1,2,111,At Risk
12980,188,7,2463.5400000000004,1,2,3,1,123,Need Attention
12981,30,4,84.47999999999999,2,1,2,0,212,Potential Loyalist
12982,243,6,85.28999999999999,1,2,2,1,122,Need Attention
12984,19,1,19.8,3,1,1,2,311,At Risk
12985,1,12,174.82000000000002,3,2,2,0,322,Potential Loyalist
12987,74,3,45.4,2,1,1,2,211,At Risk
12988,293,15,102.41999999999999,1,2,2,1,122,Need Attention
12989,4,13,976.8000000000001,3,2,3,3,323,Loyal Customers
12990,32,1,20.8,2,1,1,2,211,At Risk
12991,24,4,77.7,3,1,1,0,311,Potential Loyalist
12993,24,10,154.14999999999998,3,2,2,0,322,Potential Loyalist
12994,5,15,212.45,3,2,2,0,322,Potential Loyalist
12997,23,10,165.38,3,2,2,0,322,Potential Loyalist
12999,206,2,21.9,1,1,1,2,111,At Risk
13000,260,3,46.08,1,1,1,2,111,At Risk
13001,5,67,2109.48,3,3,3,3,333,Loyal Customers
13002,319,2,24.95,1,1,1,2,111,At Risk
13004,12,80,1044.63,3,3,3,3,333,Loyal Customers
13005,174,6,92.85000000000001,1,2,2,1,122,Need Attention
13006,57,3,77.00999999999999,2,1,1,2,211,At Risk
13008,324,4,46.92,1,1,1,2,111,At Risk
13012,10,19,418.91999999999996,3,3,3,3,333,Loyal Customers
13013,22,32,624.5999999999999,3,3,3,3,333,Loyal Customers
13014,11,26,680.5999999999999,3,3,3,3,333,Loyal Customers
13015,54,32,900.1499999999999,2,3,3,3,233,Loyal Customers
13016,74,10,184.10999999999996,2,2,2,1,222,Need Attention
13018,17,94,1483.62,3,3,3,3,333,Loyal Customers
13021,5,28,585.4999999999999,3,3,3,3,333,Loyal Customers
13023,65,10,181.49,2,2,2,1,222,Need Attention
13026,2,9,391.79999999999995,3,2,3,0,323,Potential Loyalist
13027,114,5,1344.0,1,1,3,1,113,Need Attention
13028,23,10,160.2,3,2,2,0,322,Potential Loyalist
13029,139,2,315.9,1,1,3,1,113,Need Attention
13030,12,4,60.93,3,1,1,0,311,Potential Loyalist
13032,53,8,115.22999999999999,2,2,2,1,222,Need Attention
13033,358,3,55.050000000000004,1,1,1,2,111,At Risk
13034,55,5,86.99999999999999,2,1,2,1,212,Need Attention
13035,74,6,262.7,2,2,3,1,223,Need Attention
13037,139,15,237.22000000000003,1,2,2,1,122,Need Attention
13038,291,4,75.6,1,1,1,2,111,At Risk
13040,9,9,109.01000000000002,3,2,2,0,322,Potential Loyalist
13043,274,3,196.8,1,1,2,1,112,Need Attention
13044,292,9,150.84,1,2,2,1,122,Need Attention
13045,100,4,45.34,1,1,1,2,111,At Risk
13046,31,7,99.33000000000001,2,2,2,0,222,Potential Loyalist
13047,57,36,626.0200000000001,2,3,3,3,233,Loyal Customers
13048,15,31,479.4000000000001,3,3,3,3,333,Loyal Customers
13049,65,3,122.1,2,1,2,1,212,Need Attention
13050,15,76,1147.52,3,3,3,3,333,Loyal Customers
13052,213,3,72.6,1,1,1,2,111,At Risk
13055,79,10,191.64,2,2,2,1,222,Need Attention
13058,25,3,59.00000000000001,3,1,1,0,311,Potential Loyalist
13060,254,4,62.39999999999999,1,1,1,2,111,At Risk
13061,73,3,62.1,2,1,1,2,211,At Risk
13062,192,2,32.4,1,1,1,2,111,At Risk
13064,13,12,152.28,3,2,2,0,322,Potential Loyalist
13066,25,11,94.10000000000002,3,2,2,0,322,Potential Loyalist
13067,83,3,21.44,2,1,1,2,211,At Risk
13069,15,72,627.5300000000001,3,3,3,3,333,Loyal Customers
13070,193,2,41.6,1,1,1,2,111,At Risk
13072,267,1,29.700000000000003,1,1,1,2,111,At Risk
13075,130,3,136.79999999999998,1,1,2,1,112,Need Attention
13077,2,18,75.79,3,3,1,0,331,Potential Loyalist
13078,4,58,1763.46,3,3,3,3,333,Loyal Customers
13080,180,3,19.68,1,1,1,2,111,At Risk
13081,12,183,5180.06,3,3,3,3,333,Loyal Customers
13082,158,10,216.79999999999998,1,2,2,1,122,Need Attention
13083,5,5,136.0,3,1,2,0,312,Potential Loyalist
13085,296,1,12.600000000000001,1,1,1,2,111,At Risk
13089,5,329,10490.390000000007,3,3,3,3,333,Loyal Customers
13090,9,30,661.3199999999999,3,3,3,3,333,Loyal Customers
13091,29,5,105.41999999999999,2,1,2,0,212,Potential Loyalist
13092,71,5,70.32,2,1,1,1,211,Need Attention
13093,276,28,1185.84,1,3,3,1,133,Need Attention
13094,130,2,152.64000000000001,1,1,2,2,112,At Risk
13095,71,1,9.36,2,1,1,2,211,At Risk
13097,33,82,1281.7600000000004,2,3,3,3,233,Loyal Customers
13098,2,106,4994.410000000001,3,3,3,3,333,Loyal Customers
13101,235,2,25.5,1,1,1,2,111,At Risk
13102,2,68,1424.96,3,3,3,3,333,Loyal Customers
13104,4,4,243.95999999999998,3,1,3,0,313,Potential Loyalist
13106,134,1,76.5,1,1,1,2,111,At Risk
13107,86,13,357.08000000000004,2,2,3,1,223,Need Attention
13109,60,10,153.73,2,2,2,1,222,Need Attention
13110,32,31,297.79,2,3,3,3,233,Loyal Customers
13113,1,48,2387.2400000000002,3,3,3,3,333,Loyal Customers
13115,12,22,503.76,3,3,3,3,333,Loyal Customers
13116,139,5,77.74,1,1,1,1,111,Need Attention
13117,22,8,121.56,3,2,2,0,322,Potential Loyalist
13118,20,15,126.64000000000001,3,2,2,0,322,Potential Loyalist
13120,239,1,30.599999999999998,1,1,1,2,111,At Risk
13121,270,10,51.31999999999999,1,2,1,1,121,Need Attention
13122,241,9,157.83,1,2,2,1,122,Need Attention
13124,90,50,831.1,2,3,3,3,233,Loyal Customers
13126,5,30,384.43,3,3,3,3,333,Loyal Customers
13127,78,4,68.7,2,1,1,2,211,At Risk
13131,24,9,213.5,3,2,2,0,322,Potential Loyalist
13132,262,2,62.0,1,1,1,2,111,At Risk
13133,274,2,39.7,1,1,1,2,111,At Risk
13134,86,18,344.54,2,3,3,1,233,Need Attention
13135,197,1,3096.0,1,1,3,1,113,Need Attention
13136,57,26,556.9599999999999,2,3,3,3,233,Loyal Customers
13137,11,129,681.6899999999998,3,3,3,3,333,Loyal Customers
13138,23,7,114.01999999999998,3,2,2,0,322,Potential Loyalist
13139,17,39,1109.83,3,3,3,3,333,Loyal Customers
13140,109,7,78.56,1,2,2,1,122,Need Attention
13141,85,30,480.93,2,3,3,1,233,Need Attention
13142,20,7,91.14,3,2,2,0,322,Potential Loyalist
13144,333,1,23.6,1,1,1,2,111,At Risk
13145,92,1,45.0,1,1,1,2,111,At Risk
13146,27,6,41.980000000000004,3,2,1,0,321,Potential Loyalist
13147,100,1,118.80000000000001,1,1,2,2,112,At Risk
13148,30,85,943.1800000000002,2,3,3,3,233,Loyal Customers
13149,15,14,309.8,3,2,3,0,323,Potential Loyalist
13151,296,11,184.60000000000002,1,2,2,1,122,Need Attention
13153,6,3,37.44,3,1,1,0,311,Potential Loyalist
13155,34,6,127.39999999999999,2,2,2,0,222,Potential Loyalist
13157,50,10,169.2,2,2,2,1,222,Need Attention
13158,95,14,226.27,1,2,2,1,122,Need Attention
13159,9,31,360.2,3,3,3,3,333,Loyal Customers
13160,23,1,34.8,3,1,1,2,311,At Risk
13161,314,1,27.0,1,1,1,2,111,At Risk
13162,123,19,397.60999999999996,1,3,3,1,133,Need Attention
13165,47,6,195.6,2,2,2,1,222,Need Attention
13166,284,6,38.65,1,2,1,2,121,At Risk
13167,19,12,122.06000000000002,3,2,2,0,322,Potential Loyalist
13168,37,19,190.66,2,3,2,1,232,Need Attention
13169,253,1,23.4,1,1,1,2,111,At Risk
13170,27,8,32.6,3,2,1,0,321,Potential Loyalist
13171,50,8,46.94,2,2,1,0,221,Potential Loyalist
13173,5,3,14.600000000000001,3,1,1,0,311,Potential Loyalist
13174,17,25,244.97,3,3,3,3,333,Loyal Customers
13176,47,12,86.25000000000001,2,2,2,1,222,Need Attention
13177,65,4,67.35,2,1,1,2,211,At Risk
13178,27,52,1231.36,3,3,3,3,333,Loyal Customers
13182,46,2,20.04,2,1,1,2,211,At Risk
13183,8,23,823.3,3,3,3,3,333,Loyal Customers
13184,15,29,263.41999999999996,3,3,3,3,333,Loyal Customers
13186,40,21,383.7,2,3,3,3,233,Loyal Customers
13187,338,9,69.6,1,2,1,1,121,Need Attention
13189,19,6,64.2,3,2,1,0,321,Potential Loyalist
13192,96,18,233.56000000000003,1,3,2,1,132,Need Attention
13193,62,7,40.45,2,2,1,2,221,At Risk
13194,136,1,9.0,1,1,1,2,111,At Risk
13196,12,21,336.48,3,3,3,3,333,Loyal Customers
13198,11,39,604.78,3,3,3,3,333,Loyal Customers
13199,4,23,2043.4399999999996,3,3,3,3,333,Loyal Customers
13200,20,7,133.15000000000003,3,2,2,0,322,Potential Loyalist
13203,10,11,158.56,3,2,2,0,322,Potential Loyalist
13208,59,27,221.77000000000004,2,3,2,1,232,Need Attention
13209,31,64,1076.39,2,3,3,3,233,Loyal Customers
13210,94,6,95.84,1,2,2,1,122,Need Attention
13211,96,8,164.14999999999998,1,2,2,1,122,Need Attention
13212,20,28,145.27000000000004,3,3,2,0,332,Potential Loyalist
13213,57,18,294.80000000000007,2,3,3,1,233,Need Attention
13216,268,1,92.5,1,1,2,2,112,At Risk
13220,220,4,19.689999999999998,1,1,1,2,111,At Risk
13221,241,13,133.72000000000003,1,2,2,1,122,Need Attention
13223,201,2,115.80000000000001,1,1,2,2,112,At Risk
13224,61,24,578.07,2,3,3,3,233,Loyal Customers
13225,4,7,1288.9799999999998,3,2,3,3,323,Loyal Customers
13226,274,1,8.4,1,1,1,2,111,At Risk
13228,82,1,179.0,2,1,2,2,212,At Risk
13229,226,2,36.75,1,1,1,2,111,At Risk
13230,5,122,597.5299999999996,3,3,3,3,333,Loyal Customers
13232,13,26,225.14000000000001,3,3,2,3,332,Loyal Customers
13233,75,13,131.76,2,2,2,1,222,Need Attention
13235,213,11,185.15,1,2,2,1,122,Need Attention
13236,25,10,233.62000000000003,3,2,2,0,322,Potential Loyalist
13238,24,8,165.1,3,2,2,0,322,Potential Loyalist
13239,262,6,109.83000000000001,1,2,2,1,122,Need Attention
13240,97,12,89.69,1,2,2,1,122,Need Attention
13242,113,1,20.8,1,1,1,2,111,At Risk
13243,204,11,142.89,1,2,2,1,122,Need Attention
13244,93,4,17.9,1,1,1,2,111,At Risk
13245,51,2,61.3,2,1,1,2,211,At Risk
13246,19,38,905.29,3,3,3,3,333,Loyal Customers
13247,52,4,69.0,2,1,1,2,211,At Risk
13248,125,4,72.44,1,1,1,2,111,At Risk
13249,94,5,310.86,1,1,3,1,113,Need Attention
13253,157,8,223.44,1,2,2,1,122,Need Attention
13255,10,1,49.800000000000004,3,1,1,0,311,Potential Loyalist
13258,24,9,119.78999999999999,3,2,2,0,322,Potential Loyalist
13259,62,21,95.30999999999999,2,3,2,1,232,Need Attention
13260,62,1,26.0,2,1,1,2,211,At Risk
13261,286,4,441.6,1,1,3,1,113,Need Attention
13262,264,1,6.959999999999999,1,1,1,2,111,At Risk
13263,2,319,1467.1099999999997,3,3,3,3,333,Loyal Customers
13265,54,14,263.15999999999997,2,2,3,1,223,Need Attention
13266,12,44,944.2699999999998,3,3,3,3,333,Loyal Customers
13267,3,43,930.5899999999996,3,3,3,3,333,Loyal Customers
13268,18,101,802.2999999999998,3,3,3,3,333,Loyal Customers
13269,2,70,1112.7199999999996,3,3,3,3,333,Loyal Customers
13271,38,22,64.17,2,3,1,0,231,Potential Loyalist
13272,90,4,60.45,2,1,1,2,211,At Risk
13273,114,2,14.05,1,1,1,2,111,At Risk
13276,64,10,160.6,2,2,2,1,222,Need Attention
13277,117,1,25.0,1,1,1,2,111,At Risk
13278,41,9,82.53999999999999,2,2,2,0,222,Potential Loyalist
13280,123,13,130.21,1,2,2,1,122,Need Attention
13282,19,9,309.20000000000005,3,2,3,0,323,Potential Loyalist
13283,186,1,17.0,1,1,1,2,111,At Risk
13285,24,48,697.8100000000001,3,3,3,3,333,Loyal Customers
13291,156,4,36.0,1,1,1,2,111,At Risk
13292,39,5,86.9,2,1,2,0,212,Potential Loyalist
13294,190,9,151.7,1,2,2,1,122,Need Attention
13296,138,1,15.0,1,1,1,2,111,At Risk
13297,8,13,525.18,3,2,3,3,323,Loyal Customers
13300,170,1,19.8,1,1,1,2,111,At Risk
13301,104,16,138.05,1,3,2,1,132,Need Attention
13302,156,1,63.75,1,1,1,2,111,At Risk
13304,352,4,57.21,1,1,1,2,111,At Risk
13305,5,12,264.48999999999995,3,2,3,0,323,Potential Loyalist
13308,23,9,143.56,3,2,2,0,322,Potential Loyalist
13309,8,23,365.0,3,3,3,3,333,Loyal Customers
13310,29,14,243.12,2,2,3,0,223,Potential Loyalist
13311,5,10,127.68000000000002,3,2,2,0,322,Potential Loyalist
13313,23,13,242.55999999999997,3,2,3,0,323,Potential Loyalist
13314,2,11,133.71,3,2,2,0,322,Potential Loyalist
13316,38,18,1141.8600000000001,2,3,3,3,233,Loyal Customers
13317,67,20,362.76000000000005,2,3,3,1,233,Need Attention
13318,38,1,42.96,2,1,1,2,211,At Risk
13319,6,84,1906.0000000000002,3,3,3,3,333,Loyal Customers
13320,79,16,259.0,2,3,3,1,233,Need Attention
13321,87,3,130.84,2,1,2,1,212,Need Attention
13322,18,8,89.49000000000001,3,2,2,0,322,Potential Loyalist
13323,4,4,270.5,3,1,3,0,313,Potential Loyalist
13324,37,14,1218.66,2,2,3,3,223,Loyal Customers
13325,82,3,268.0,2,1,3,1,213,Need Attention
13327,39,14,343.40000000000003,2,2,3,1,223,Need Attention
13328,317,4,356.99999999999994,1,1,3,1,113,Need Attention
13329,32,2,110.28,2,1,2,0,212,Potential Loyalist
13330,93,10,251.00000000000003,1,2,3,1,123,Need Attention
13332,15,5,80.2,3,1,2,0,312,Potential Loyalist
13334,83,57,687.3200000000003,2,3,3,3,233,Loyal Customers
13336,78,7,105.68,2,2,2,1,222,Need Attention
13338,158,6,166.39999999999998,1,2,2,1,122,Need Attention
13339,201,11,192.0,1,2,2,1,122,Need Attention
13340,46,26,2007.9599999999998,2,3,3,3,233,Loyal Customers
13341,261,10,248.75,1,2,3,1,123,Need Attention
13343,178,5,94.3,1,1,2,1,112,Need Attention
13344,68,13,379.3,2,2,3,1,223,Need Attention
13345,288,6,102.25,1,2,2,1,122,Need Attention
13347,71,4,168.6,2,1,2,1,212,Need Attention
13348,65,1,10.2,2,1,1,2,211,At Risk
13349,11,4,41.68,3,1,1,0,311,Potential Loyalist
13350,17,5,124.4,3,1,2,0,312,Potential Loyalist
13351,67,4,67.44,2,1,1,2,211,At Risk
13352,61,7,111.06,2,2,2,1,222,Need Attention
13354,72,8,108.54000000000002,2,2,2,1,222,Need Attention
13355,123,7,125.0,1,2,2,1,122,Need Attention
13356,81,9,226.71,2,2,2,1,222,Need Attention
13357,258,20,115.99000000000001,1,3,2,1,132,Need Attention
13358,269,6,64.74000000000001,1,2,1,1,121,Need Attention
13359,64,2,42.60000000000001,2,1,1,2,211,At Risk
13362,10,33,690.9000000000001,3,3,3,3,333,Loyal Customers
13363,18,9,145.31,3,2,2,0,322,Potential Loyalist
13364,72,1,17.4,2,1,1,2,211,At Risk
13365,34,28,544.64,2,3,3,3,233,Loyal Customers
13368,257,8,211.35000000000002,1,2,2,1,122,Need Attention
13372,90,4,89.51,2,1,2,1,212,Need Attention
13373,61,31,698.25,2,3,3,3,233,Loyal Customers
13375,89,9,136.1,2,2,2,1,222,Need Attention
13376,100,13,236.85000000000002,1,2,2,1,122,Need Attention
13379,27,15,83.59,3,2,2,0,322,Potential Loyalist
13381,32,38,800.7900000000002,2,3,3,3,233,Loyal Customers
13382,281,4,62.7,1,1,1,2,111,At Risk
13384,31,25,896.9499999999999,2,3,3,3,233,Loyal Customers
13385,330,5,110.6,1,1,2,1,112,Need Attention
13388,132,9,210.76999999999998,1,2,2,1,122,Need Attention
13389,12,11,167.96999999999997,3,2,2,0,322,Potential Loyalist
13394,2,33,665.8900000000002,3,3,3,3,333,Loyal Customers
13395,186,4,41.76,1,1,1,2,111,At Risk
13396,30,10,342.54,2,2,3,0,223,Potential Loyalist
13397,73,10,362.8,2,2,3,1,223,Need Attention
13398,193,7,103.42999999999999,1,2,2,1,122,Need Attention
13402,128,8,123.51,1,2,2,1,122,Need Attention
13403,18,1,15.0,3,1,1,2,311,At Risk
13404,213,2,41.6,1,1,1,2,111,At Risk
13405,205,6,113.99000000000001,1,2,2,1,122,Need Attention
13408,2,98,5686.879999999999,3,3,3,3,333,Loyal Customers
13410,75,5,125.84,2,1,2,1,212,Need Attention
13411,108,5,94.65,1,1,2,1,112,Need Attention
13414,134,7,168.45,1,2,2,1,122,Need Attention
13416,44,2,59.400000000000006,2,1,1,2,211,At Risk
13417,5,10,222.1,3,2,2,0,322,Potential Loyalist
13418,12,58,1296.35,3,3,3,3,333,Loyal Customers
13419,64,2,14.399999999999999,2,1,1,2,211,At Risk
13420,171,1,10.5,1,1,1,2,111,At Risk
13421,41,19,389.92,2,3,3,1,233,Need Attention
13422,65,30,670.34,2,3,3,3,233,Loyal Customers
13425,109,16,245.07,1,3,3,1,133,Need Attention
13426,1,29,676.5999999999998,3,3,3,3,333,Loyal Customers
13427,20,6,148.04,3,2,2,0,322,Potential Loyalist
13428,11,14,40.93,3,2,1,0,321,Potential Loyalist
13429,11,16,291.15999999999997,3,3,3,0,333,Potential Loyalist
13430,19,8,76.56,3,2,1,0,321,Potential Loyalist
13431,68,9,228.42000000000002,2,2,2,1,222,Need Attention
13435,6,22,759.0,3,3,3,3,333,Loyal Customers
13436,2,2,28.2,3,1,1,0,311,Potential Loyalist
13437,15,31,666.36,3,3,3,3,333,Loyal Customers
13439,256,16,83.85,1,3,2,1,132,Need Attention
13441,92,1,10.2,1,1,1,2,111,At Risk
13447,24,9,175.69000000000003,3,2,2,0,322,Potential Loyalist
13448,17,30,491.28999999999996,3,3,3,3,333,Loyal Customers
13449,24,2,41.650000000000006,3,1,1,2,311,At Risk
13450,27,14,411.05999999999995,3,2,3,3,323,Loyal Customers
13451,27,89,570.7300000000001,3,3,3,3,333,Loyal Customers
13452,260,2,590.0,1,1,3,1,113,Need Attention
13453,166,4,111.58,1,1,2,1,112,Need Attention
13455,25,3,73.8,3,1,1,0,311,Potential Loyalist
13456,18,13,314.0900000000001,3,2,3,0,323,Potential Loyalist
13458,8,78,1738.2,3,3,3,3,333,Loyal Customers
13460,30,1,17.0,2,1,1,2,211,At Risk
13461,39,4,197.7,2,1,2,0,212,Potential Loyalist
13462,253,2,37.8,1,1,1,2,111,At Risk
13464,59,4,84.9,2,1,2,1,212,Need Attention
13466,185,5,78.39999999999999,1,1,2,1,112,Need Attention
13467,11,23,242.26999999999998,3,3,3,3,333,Loyal Customers
13468,2,54,1044.4200000000005,3,3,3,3,333,Loyal Customers
13470,100,3,49.5,1,1,1,2,111,At Risk
13471,2,65,693.9600000000002,3,3,3,3,333,Loyal Customers
13473,61,6,142.29,2,2,2,1,222,Need Attention
13474,237,11,46.10000000000001,1,2,1,1,121,Need Attention
13475,218,14,219.21,1,2,2,1,122,Need Attention
13476,179,12,214.5,1,2,2,1,122,Need Attention
13477,58,9,152.32,2,2,2,1,222,Need Attention
13479,201,3,72.3,1,1,1,2,111,At Risk
13481,46,22,333.2100000000001,2,3,3,1,233,Need Attention
13482,233,3,52.980000000000004,1,1,1,2,111,At Risk
13483,66,3,59.7,2,1,1,2,211,At Risk
13484,242,3,63.6,1,1,1,2,111,At Risk
13485,234,4,73.3,1,1,1,2,111,At Risk
13486,79,14,217.46000000000004,2,2,2,1,222,Need Attention
13487,58,9,149.2,2,2,2,1,222,Need Attention
13488,18,82,1595.5800000000002,3,3,3,3,333,Loyal Customers
13489,106,4,142.08,1,1,2,1,112,Need Attention
13491,52,15,192.63000000000002,2,2,2,1,222,Need Attention
13494,312,3,70.80000000000001,1,1,1,2,111,At Risk
13495,8,7,376.2,3,2,3,0,323,Potential Loyalist
13496,11,3,45.0,3,1,1,0,311,Potential Loyalist
13497,283,3,54.3,1,1,1,2,111,At Risk
13499,18,8,286.45000000000005,3,2,3,0,323,Potential Loyalist
13500,24,10,189.50000000000003,3,2,2,0,322,Potential Loyalist
13502,17,2,16.8,3,1,1,2,311,At Risk
13503,72,1,10.5,2,1,1,2,211,At Risk
13504,65,6,72.12,2,2,1,1,221,Need Attention
13506,317,1,20.4,1,1,1,2,111,At Risk
13507,4,33,492.86000000000007,3,3,3,3,333,Loyal Customers
13508,244,3,27.630000000000003,1,1,1,2,111,At Risk
13509,9,8,121.22,3,2,2,0,322,Potential Loyalist
13510,2,21,329.32,3,3,3,3,333,Loyal Customers
13512,261,6,89.3,1,2,2,1,122,Need Attention
13513,127,2,37.65,1,1,1,2,111,At Risk
13515,73,7,103.2,2,2,2,1,222,Need Attention
13516,22,7,370.66,3,2,3,0,323,Potential Loyalist
13517,60,31,450.99000000000007,2,3,3,3,233,Loyal Customers
13518,86,7,121.39999999999999,2,2,2,1,222,Need Attention
13519,79,1,11.9,2,1,1,2,211,At Risk
13521,2,98,263.2799999999999,3,3,3,3,333,Loyal Customers
13523,34,29,893.3699999999998,2,3,3,3,233,Loyal Customers
13524,41,3,53.779999999999994,2,1,1,2,211,At Risk
13525,15,1,23.9,3,1,1,2,311,At Risk
13527,34,47,538.8299999999998,2,3,3,3,233,Loyal Customers
13529,79,3,51.050000000000004,2,1,1,2,211,At Risk
13531,206,3,79.85,1,1,2,2,112,At Risk
13532,34,10,29.61,2,2,1,0,221,Potential Loyalist
13533,183,16,63.28999999999999,1,3,1,1,131,Need Attention
13534,3,63,1242.05,3,3,3,3,333,Loyal Customers
